Count	SampleID	Kingdom	Phylum	Class	Order	Family	Genus	Species
2	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp. PAMC20947
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Citricoccus	Citricoccus sp. SGAir0253
1	SRR1237783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia acidiphila
1	SRR1237783	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides fluvii
1	SRR1237783	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	unclassified Aeromonas species
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Curtobacterium	unclassified Curtobacterium species
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium sp. CS2
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. KBS0702
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paraoceanicella	Paraoceanicella profunda
2	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. SGAir0440
14	SRR1237783	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister hominis
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp. S-1144
1	SRR1237783	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Saccharibacillus	Saccharibacillus brassicae
2	SRR1237783	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Amedibacterium	Amedibacterium intestinale
1	SRR1237783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Plantibacter	Plantibacter sp. M259
1	SRR1237783	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. 8
76	SRR1237783	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Longibaculum	Longibaculum sp. KGMB06250
